data_horario;user_home;user_away;team_home;team_away;resultado;Score_end_home;Score_end_away;target_class;team_playing_home;team_playing_away
2021-03-07 20:14:00;JKEY;HOTSHOT;BARCELONA (JKEY) ESPORTS;REAL MADRID (HOTSHOT) ESPORTS;1-1;1;1;0;BARCELONA;REAL MADRID
2021-03-07 20:14:00;VRICO;ARCOS;LIVERPOOL (VRICO) ESPORTS;PSG (ARCOS) ESPORTS;0-0;0;0;0;LIVERPOOL;PSG
2021-03-07 20:26:00;HOTSHOT;VRICO;REAL MADRID (HOTSHOT) ESPORTS;LIVERPOOL (VRICO) ESPORTS;3-0;3;0;1;REAL MADRID;LIVERPOOL
2021-03-07 20:38:00;VRICO;JKEY;LIVERPOOL (VRICO) ESPORTS;BARCELONA (JKEY) ESPORTS;3-2;3;2;1;LIVERPOOL;BARCELONA
2021-03-07 20:50:00;ARCOS;HOTSHOT;PSG (ARCOS) ESPORTS;REAL MADRID (HOTSHOT) ESPORTS;4-3;4;3;1;PSG;REAL MADRID
2021-03-07 21:02:00;JKEY;ARCOS;BARCELONA (JKEY) ESPORTS;PSG (ARCOS) ESPORTS;1-1;1;1;0;BARCELONA;PSG
2021-03-07 21:14:00;HOTSHOT;JKEY;REAL MADRID (HOTSHOT) ESPORTS;BARCELONA (JKEY) ESPORTS;2-1;2;1;1;REAL MADRID;BARCELONA
2021-03-07 21:14:00;ARCOS;VRICO;PSG (ARCOS) ESPORTS;LIVERPOOL (VRICO) ESPORTS;1-1;1;1;0;PSG;LIVERPOOL
2021-03-07 21:26:00;VRICO;HOTSHOT;LIVERPOOL (VRICO) ESPORTS;REAL MADRID (HOTSHOT) ESPORTS;1-0;1;0;1;LIVERPOOL;REAL MADRID
2021-03-07 21:38:00;JKEY;VRICO;BARCELONA (JKEY) ESPORTS;LIVERPOOL (VRICO) ESPORTS;0-2;0;2;2;BARCELONA;LIVERPOOL
2021-03-07 22:10:00;HOTSHOT;ARCOS;CHELSEA (HOTSHOT) ESPORTS;DORTMUND (ARCOS) ESPORTS;1-0;1;0;1;CHELSEA;DORTMUND
2021-03-07 22:22:00;ARCOS;JKEY;DORTMUND (ARCOS) ESPORTS;ATLETICO MADRID (JKEY) ESPORTS;1-2;1;2;2;DORTMUND;ATLETICO MADRID
2021-03-07 22:34:00;JKEY;HOTSHOT;ATLETICO MADRID (JKEY) ESPORTS;CHELSEA (HOTSHOT) ESPORTS;2-1;2;1;1;ATLETICO MADRID;CHELSEA
2021-03-07 22:34:00;VRICO;ARCOS;MAN CITY (VRICO) ESPORTS;DORTMUND (ARCOS) ESPORTS;0-0;0;0;0;MAN CITY;DORTMUND
2021-03-07 22:46:00;HOTSHOT;VRICO;CHELSEA (HOTSHOT) ESPORTS;MAN CITY (VRICO) ESPORTS;1-0;1;0;1;CHELSEA;MAN CITY
2021-03-07 22:58:00;VRICO;JKEY;MAN CITY (VRICO) ESPORTS;ATLETICO MADRID (JKEY) ESPORTS;1-1;1;1;0;MAN CITY;ATLETICO MADRID
2021-03-07 23:10:00;ARCOS;HOTSHOT;DORTMUND (ARCOS) ESPORTS;CHELSEA (HOTSHOT) ESPORTS;2-3;2;3;2;DORTMUND;CHELSEA
